,Contract Name,Strike,Last Price,Bid,Ask,Volume,Sign
0,AZN240126C00040000,40.0,26.37,26.65,28.0,2,0.683125
1,AZN240126C00060000,60.0,7.15,7.15,7.3,2,0.120417
2,AZN240126C00062000,62.0,4.64,5.15,5.3,13,0.084274
3,AZN240126C00064000,64.0,2.9,3.15,3.3,4,0.050391
4,AZN240126C00065000,65.0,2.42,2.17,2.34,1,0.034692
5,AZN240126C00066000,66.0,1.78,1.16,1.34,10,0.018939
6,AZN240126C00067000,67.0,0.24,0.22,0.27,14,0.003657
7,AZN240126C00068000,68.0,0.01,0.01,0.03,31,0.000294
8,AZN240126C00069000,69.0,0.02,0.0,0.2,60,0.001449
9,AZN240126C00070000,70.0,0.04,0.0,0.1,16,0.000714
10,AZN240126C00071000,71.0,0.01,0.0,0.04,1,0.000282
11,AZN240126C00072000,72.0,0.02,0.0,0.04,4,0.000278
12,AZN240126C00073000,73.0,0.02,0.0,0.03,1,0.000205
13,AZN240126C00074000,74.0,0.11,0.0,0.03,0,0.000203
14,AZN240126C00075000,75.0,0.05,0.0,0.03,0,0.0002
15,AZN240126C00080000,80.0,0.08,0.0,0.5,15,0.003125
16,AZN240126C00085000,85.0,0.15,0.0,0.15,0,0.000882
